gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_0594	mmp_594	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0594	Background_Genome	0.5033	1.0000e-15	2.6087e-14	NO
MMAR_0599	mmp_599	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0599	Background_Genome	-0.7053	1.0000e-15	2.6087e-14	NO
MMAR_0618	mmp_618	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0618	Background_Genome	0.7217	1.0000e-15	2.6087e-14	NO
MMAR_0646	mmp_646	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0646	Background_Genome	0.3571	1.0000e-15	2.6087e-14	NO
MMAR_0696	mmp_696	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0696	Background_Genome	-0.5310	1.0000e-15	2.6087e-14	NO
MMAR_0753	mmp_753	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0753	Background_Genome	-0.9002	1.0000e-15	2.6087e-14	YES
MMAR_0766	mmp_766	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0766	Background_Genome	-0.4148	1.0000e-15	2.6087e-14	NO
MMAR_0778	mmp_778	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0778	Background_Genome	0.5392	1.0000e-15	2.6087e-14	NO
MMAR_0830	mmp_830	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0830	Background_Genome	-0.4417	1.0000e-15	2.6087e-14	NO
MMAR_0874	mmp_874	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0874	Background_Genome	-0.7458	1.0000e-15	2.6087e-14	NO
MMAR_0916	mmp_916	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0916	Background_Genome	-0.4280	1.0000e-15	2.6087e-14	NO
MMAR_0917	mmp_917	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0917	Background_Genome	-0.7654	1.0000e-15	2.6087e-14	YES
MMAR_0942	mmp_942	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0942	Background_Genome	-0.4674	1.0000e-15	2.6087e-14	NO
MMAR_0948	mmp_948	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0948	Background_Genome	-0.8227	1.0000e-15	2.6087e-14	YES
MMAR_0972	mmp_972	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0972	Background_Genome	-0.6765	1.0000e-15	2.6087e-14	NO
MMAR_0991	mmp_991	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0991	Background_Genome	-0.5291	1.0000e-15	2.6087e-14	NO
MMAR_1015	mmp_1015	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1015	Background_Genome	-0.4011	1.0000e-15	2.6087e-14	NO
MMAR_1039	mmp_1039	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1039	Background_Genome	0.4664	1.0000e-15	2.6087e-14	NO
MMAR_1110	mmp_1110	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1110	Background_Genome	0.7263	1.0000e-15	2.6087e-14	NO
MMAR_1152	mmp_1152	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1152	Background_Genome	-0.5796	1.0000e-15	2.6087e-14	NO
MMAR_1166	mmp_1166	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1166	Background_Genome	-0.7070	1.0000e-15	2.6087e-14	NO
MMAR_1169	mmp_1169	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1169	Background_Genome	0.2945	1.0000e-15	2.6087e-14	NO
MMAR_1171	mmp_1171	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1171	Background_Genome	0.3498	1.0000e-15	2.6087e-14	NO
MMAR_0201	mmp_201	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0201	Background_Genome	0.5546	1.0390e-15	2.6527e-14	NO
MMAR_0255	mmp_255	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0255	Background_Genome	0.2975	1.4090e-15	3.5226e-14	NO
MMAR_0881	mmp_881	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0881	Background_Genome	0.5687	1.8087e-15	4.4294e-14	NO
MMAR_1185	mmp_1185	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1185	Background_Genome	0.4947	2.9938e-15	7.1851e-14	NO
MMAR_0195	mmp_195	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0195	Background_Genome	0.4400	3.3695e-15	7.9282e-14	NO
MMAR_0546	mmp_546	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0546	Background_Genome	0.4737	3.6594e-15	8.3622e-14	NO
MMAR_1077	mmp_1077	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1077	Background_Genome	0.7211	3.6933e-15	8.3622e-14	NO
MMAR_0352	mmp_352	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0352	Background_Genome	-0.5483	3.7760e-15	8.3912e-14	NO
MMAR_0435	mmp_435	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0435	Background_Genome	0.3836	6.7943e-15	1.4824e-13	NO
MMAR_1087	mmp_1087	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1087	Background_Genome	0.4939	1.0647e-14	2.2816e-13	NO
MMAR_0822	mmp_822	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0822	Background_Genome	-0.3749	1.0970e-14	2.3095e-13	NO
MMAR_0816	mmp_816	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0816	Background_Genome	-0.2958	1.2215e-14	2.5273e-13	NO
MMAR_0080	mmp_80	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0080	Background_Genome	0.4776	1.7423e-14	3.5437e-13	NO
MMAR_1032	mmp_1032	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1032	Background_Genome	-0.5158	2.1497e-14	4.2995e-13	NO
MMAR_0536	mmp_536	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0536	Background_Genome	0.3544	3.0836e-14	6.0660e-13	NO
MMAR_0891	mmp_891	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0891	Background_Genome	0.3687	5.3971e-14	1.0446e-12	NO
MMAR_0445	mmp_445	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0445	Background_Genome	0.4810	5.6613e-14	1.0784e-12	NO
MMAR_0187	mmp_187	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0187	Background_Genome	-0.5380	7.1796e-14	1.3462e-12	NO
MMAR_0179	mmp_179	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0179	Background_Genome	-0.4768	9.6308e-14	1.7780e-12	NO
MMAR_0821	mmp_821	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0821	Background_Genome	0.6816	1.1509e-13	2.0925e-12	NO
MMAR_0530	mmp_530	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0530	Background_Genome	-0.5455	1.7777e-13	3.1840e-12	NO
MMAR_1001	mmp_1001	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1001	Background_Genome	-0.3827	2.7981e-13	4.9378e-12	NO
MMAR_1129	mmp_1129	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1129	Background_Genome	0.4695	2.8704e-13	4.9921e-12	NO
MMAR_0493	mmp_493	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0493	Background_Genome	0.4616	3.0726e-13	5.2672e-12	NO
MMAR_0768	mmp_768	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0768	Background_Genome	0.3601	3.8352e-13	6.4820e-12	NO
MMAR_0653	mmp_653	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0653	Background_Genome	-0.2514	5.9888e-13	9.9814e-12	NO
MMAR_0487	mmp_487	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0487	Background_Genome	0.4196	6.0877e-13	1.0007e-11	NO
MMAR_0112	mmp_112	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0112	Background_Genome	-0.1234	9.2662e-13	1.5026e-11	NO
MMAR_0279	mmp_279	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0279	Background_Genome	0.4654	1.3977e-12	2.2364e-11	NO
MMAR_0994	mmp_994	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0994	Background_Genome	0.4153	1.6285e-12	2.5713e-11	NO
MMAR_0248	mmp_248	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0248	Background_Genome	-0.4561	1.7228e-12	2.6849e-11	NO
MMAR_0492	mmp_492	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0492	Background_Genome	0.4720	2.6284e-12	4.0437e-11	NO
MMAR_0984	mmp_984	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0984	Background_Genome	-0.4311	5.0875e-12	7.7278e-11	NO
MMAR_0237	mmp_237	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0237	Background_Genome	-0.5160	5.7847e-12	8.6770e-11	NO
MMAR_0743	mmp_743	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0743	Background_Genome	-0.3770	6.8415e-12	1.0136e-10	NO
MMAR_0361	mmp_361	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0361	Background_Genome	-0.5429	7.1228e-12	1.0424e-10	NO
MMAR_0436	mmp_436	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0436	Background_Genome	-0.5036	1.0630e-11	1.5369e-10	NO
MMAR_0906	mmp_906	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0906	Background_Genome	-0.7575	1.3924e-11	1.9891e-10	YES
MMAR_0678	mmp_678	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0678	Background_Genome	0.5949	1.4768e-11	2.0850e-10	NO
MMAR_0854	mmp_854	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0854	Background_Genome	-0.5276	1.7450e-11	2.4349e-10	NO
MMAR_0355	mmp_355	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0355	Background_Genome	-0.5747	1.9262e-11	2.6569e-10	NO
MMAR_0403	mmp_403	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0403	Background_Genome	0.6515	2.0324e-11	2.7404e-10	NO
MMAR_0888	mmp_888	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0888	Background_Genome	-0.5072	2.0320e-11	2.7404e-10	NO
MMAR_1000	mmp_1000	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1000	Background_Genome	0.6738	2.1185e-11	2.8247e-10	NO
MMAR_0471	mmp_471	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0471	Background_Genome	-0.3302	2.7110e-11	3.5750e-10	NO
MMAR_0815	mmp_815	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0815	Background_Genome	0.5736	2.8374e-11	3.7009e-10	NO
MMAR_0097	mmp_97	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0097	Background_Genome	0.5478	5.8661e-11	7.5691e-10	NO
MMAR_0547	mmp_547	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0547	Background_Genome	-0.2737	7.9104e-11	1.0098e-09	NO
MMAR_0194	mmp_194	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0194	Background_Genome	-0.4429	9.3047e-11	1.1753e-09	NO
MMAR_0294	mmp_294	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0294	Background_Genome	0.3172	9.5922e-11	1.1990e-09	NO
MMAR_0261	mmp_261	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0261	Background_Genome	-0.2865	9.8057e-11	1.2131e-09	NO
MMAR_0256	mmp_256	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0256	Background_Genome	-0.2526	2.4893e-10	3.0482e-09	NO
MMAR_0335	mmp_335	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0335	Background_Genome	0.7367	2.7832e-10	3.3736e-09	NO
MMAR_0285	mmp_285	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0285	Background_Genome	0.6722	3.0000e-10	3.6000e-09	NO
MMAR_0858	mmp_858	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0858	Background_Genome	-0.4947	3.8892e-10	4.6208e-09	NO
MMAR_0496	mmp_496	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0496	Background_Genome	0.5016	3.9815e-10	4.6841e-09	NO
MMAR_1011	mmp_1011	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1011	Background_Genome	0.3377	4.9091e-10	5.7193e-09	NO
MMAR_0393	mmp_393	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0393	Background_Genome	-0.3150	5.9340e-10	6.8470e-09	NO
MMAR_0411	mmp_411	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0411	Background_Genome	0.5910	6.2203e-10	7.1089e-09	NO
MMAR_0091	mmp_91	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0091	Background_Genome	-0.6454	6.5320e-10	7.3947e-09	NO
MMAR_0322	mmp_322	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0322	Background_Genome	0.5200	6.7329e-10	7.5509e-09	NO
MMAR_0136	mmp_136	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0136	Background_Genome	-0.5378	9.3839e-10	1.0427e-08	NO
MMAR_1153	mmp_1153	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1153	Background_Genome	0.1860	9.7361e-10	1.0719e-08	NO
MMAR_1159	mmp_1159	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1159	Background_Genome	-0.6812	1.1231e-09	1.2252e-08	NO
MMAR_0729	mmp_729	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0729	Background_Genome	0.3695	1.1614e-09	1.2556e-08	NO
MMAR_1050	mmp_1050	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1050	Background_Genome	-0.3784	1.2120e-09	1.2986e-08	NO
MMAR_0714	mmp_714	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0714	Background_Genome	-0.2585	1.2759e-09	1.3549e-08	NO
MMAR_0337	mmp_337	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0337	Background_Genome	-0.4653	1.3636e-09	1.4354e-08	NO
MMAR_0412	mmp_412	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0412	Background_Genome	0.4257	1.3795e-09	1.4394e-08	NO
MMAR_0386	mmp_386	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0386	Background_Genome	0.2138	1.7878e-09	1.8494e-08	NO
MMAR_1118	mmp_1118	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1118	Background_Genome	0.2948	1.8094e-09	1.8558e-08	NO
MMAR_0489	mmp_489	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0489	Background_Genome	0.5965	1.8368e-09	1.8679e-08	NO
MMAR_0170	mmp_170	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0170	Background_Genome	-0.5139	1.9997e-09	2.0165e-08	NO
MMAR_0347	mmp_347	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0347	Background_Genome	0.3938	2.0410e-09	2.0410e-08	NO
MMAR_0745	mmp_745	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0745	Background_Genome	-0.3165	2.4946e-09	2.4739e-08	NO
MMAR_1086	mmp_1086	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1086	Background_Genome	-0.3426	2.8290e-09	2.7826e-08	NO
MMAR_0440	mmp_440	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0440	Background_Genome	-0.6713	3.2607e-09	3.1812e-08	NO
MMAR_0316	mmp_316	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0316	Background_Genome	-0.2405	4.1966e-09	4.0612e-08	NO
MMAR_0695	mmp_695	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0695	Background_Genome	-0.2417	5.7650e-09	5.5344e-08	NO
MMAR_1076	mmp_1076	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1076	Background_Genome	-0.2970	6.0546e-09	5.7663e-08	NO
MMAR_1127	mmp_1127	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1127	Background_Genome	-0.5706	7.0827e-09	6.6923e-08	NO
MMAR_0457	mmp_457	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0457	Background_Genome	-0.4638	8.9065e-09	8.3499e-08	NO
MMAR_1059	mmp_1059	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1059	Background_Genome	-0.3819	1.0301e-08	9.5824e-08	NO
MMAR_1122	mmp_1122	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1122	Background_Genome	-0.3694	1.4123e-08	1.3037e-07	NO
MMAR_0898	mmp_898	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0898	Background_Genome	0.3144	1.4961e-08	1.3705e-07	NO
MMAR_0307	mmp_307	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0307	Background_Genome	0.6023	1.6382e-08	1.4893e-07	NO
MMAR_0633	mmp_633	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0633	Background_Genome	-0.1514	1.8685e-08	1.6859e-07	NO
MMAR_1192	mmp_1192	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1192	Background_Genome	-0.4498	2.0839e-08	1.8662e-07	NO
MMAR_4571	sigH	ECF RNA polymerase sigma factor SigH (oxidative stress)	DosR_Stress	0.2499	2.1811e-08	1.9387e-07	NO
MMAR_0716	mmp_716	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0716	Background_Genome	0.4341	2.2575e-08	1.9919e-07	NO
MMAR_0625	mmp_625	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0625	Background_Genome	0.4796	2.5157e-08	2.2036e-07	NO
MMAR_2314	mps2	Peptide synthetase Mps2 (GPL biosynthesis / biofilm)	Biofilm_GPL	0.4408	2.5684e-08	2.2334e-07	NO
MMAR_0921	mmp_921	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0921	Background_Genome	-0.3041	3.1472e-08	2.7170e-07	NO
MMAR_0293	mmp_293	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0293	Background_Genome	0.4311	3.8033e-08	3.2600e-07	NO
MMAR_0402	mmp_402	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0402	Background_Genome	0.3526	4.3832e-08	3.7304e-07	NO
MMAR_0228	mmp_228	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0228	Background_Genome	-0.6844	6.1093e-08	5.1628e-07	NO
MMAR_0093	mmp_93	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0093	Background_Genome	-0.3927	6.5990e-08	5.5376e-07	NO
MMAR_0225	mmp_225	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0225	Background_Genome	0.4489	6.8258e-08	5.6882e-07	NO
MMAR_1065	mmp_1065	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1065	Background_Genome	-0.3823	7.1571e-08	5.9231e-07	NO
MMAR_0476	mmp_476	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0476	Background_Genome	0.3243	7.5862e-08	6.2352e-07	NO
MMAR_0669	mmp_669	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0669	Background_Genome	-0.3099	8.6170e-08	7.0343e-07	NO
MMAR_0985	mmp_985	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0985	Background_Genome	-0.7856	8.8966e-08	7.2135e-07	YES
MMAR_5284	groEL1	Chaperonin GroEL1 (biofilm maturation & mycolic acid association)	Biofilm_GPL	0.2727	9.4494e-08	7.6102e-07	NO
MMAR_0409	mmp_409	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0409	Background_Genome	-0.3566	1.2320e-07	9.8562e-07	NO
MMAR_0079	mmp_79	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0079	Background_Genome	0.2987	1.2452e-07	9.8958e-07	NO
MMAR_1182	mmp_1182	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1182	Background_Genome	-0.2892	1.3263e-07	1.0471e-06	NO
MMAR_1112	mmp_1112	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1112	Background_Genome	-0.2893	1.3819e-07	1.0838e-06	NO
MMAR_0245	mmp_245	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0245	Background_Genome	0.3340	1.4840e-07	1.1563e-06	NO
MMAR_0218	mmp_218	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0218	Background_Genome	-0.4880	2.5313e-07	1.9597e-06	NO
MMAR_0222	mmp_222	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0222	Background_Genome	0.4640	2.6730e-07	2.0562e-06	NO
MMAR_0995	mmp_995	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0995	Background_Genome	0.3348	2.8441e-07	2.1739e-06	NO
MMAR_1158	mmp_1158	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1158	Background_Genome	-0.3837	3.4814e-07	2.6441e-06	NO
MMAR_0656	mmp_656	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0656	Background_Genome	-0.3919	3.8384e-07	2.8969e-06	NO
MMAR_0413	mmp_413	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0413	Background_Genome	0.4577	4.2794e-07	3.2096e-06	NO
MMAR_0763	mmp_763	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0763	Background_Genome	0.2836	4.8339e-07	3.6029e-06	NO
MMAR_0663	mmp_663	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0663	Background_Genome	0.3805	4.9824e-07	3.6906e-06	NO
MMAR_0110	mmp_110	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0110	Background_Genome	-0.3056	6.7388e-07	4.9308e-06	NO
MMAR_0205	mmp_205	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0205	Background_Genome	0.2220	6.7373e-07	4.9308e-06	NO
MMAR_0635	mmp_635	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0635	Background_Genome	0.3316	7.1926e-07	5.2310e-06	NO
MMAR_0992	mmp_992	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0992	Background_Genome	0.2761	7.6498e-07	5.5300e-06	NO
MMAR_0996	mmp_996	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0996	Background_Genome	-0.4862	7.9157e-07	5.6880e-06	NO
MMAR_1117	mmp_1117	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1117	Background_Genome	0.6742	8.8541e-07	6.3244e-06	NO
MMAR_0750	mmp_750	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0750	Background_Genome	-0.4069	9.2803e-07	6.5896e-06	NO
MMAR_0410	mmp_410	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0410	Background_Genome	0.5224	9.5706e-07	6.7557e-06	NO
MMAR_0362	mmp_362	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0362	Background_Genome	-0.3430	1.0046e-06	7.0498e-06	NO
MMAR_1138	mmp_1138	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_1138	Background_Genome	0.5434	1.0461e-06	7.2983e-06	NO
MMAR_0198	mmp_198	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0198	Background_Genome	0.2806	1.0934e-06	7.5844e-06	NO
MMAR_0466	mmp_466	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0466	Background_Genome	0.4786	1.1133e-06	7.6778e-06	NO
MMAR_0349	mmp_349	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0349	Background_Genome	0.3552	1.2254e-06	8.4025e-06	NO
MMAR_0860	mmp_860	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0860	Background_Genome	0.3049	1.2403e-06	8.4565e-06	NO
MMAR_0930	mmp_930	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0930	Background_Genome	0.4122	1.3540e-06	9.1797e-06	NO
MMAR_0574	mmp_574	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0574	Background_Genome	-0.3533	1.4518e-06	9.7874e-06	NO
MMAR_0526	mmp_526	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0526	Background_Genome	0.4075	1.6008e-06	1.0732e-05	NO
MMAR_0392	mmp_392	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0392	Background_Genome	0.3850	1.8738e-06	1.2492e-05	NO
